parameter,modality,base_value,low_value,high_value,unit,qualifier,include_in_base_case,notes,source_key,source_title,source_url,data_origin
hd_monthly_cost,HD,3150.0,2800.0,3500.0,SGD_per_month,midpoint_of_range,True,"Patient-facing monthly HD cost range, excluding transport costs. This is a cost proxy, not a full provider cost.",DUKE_MYKIDNEY_COSTS,Duke-NUS Lien Centre for Palliative Care. myKIDNEY: Comparing treatment options,https://www.duke-nus.edu.sg/lcpc/mykidney/treatment-options/comparing-treatment-options,Singapore patient-facing HD and PD cost ranges
hd_annual_cost,HD,37800.0,33600.0,42000.0,SGD_per_year,derived_from_monthly,True,Derived from monthly HD cost.,DUKE_MYKIDNEY_COSTS,Duke-NUS Lien Centre for Palliative Care. myKIDNEY: Comparing treatment options,https://www.duke-nus.edu.sg/lcpc/mykidney/treatment-options/comparing-treatment-options,Singapore patient-facing HD and PD cost ranges
capd_monthly_cost,CAPD,1200.0,1100.0,1300.0,SGD_per_month,midpoint_of_range,False,Patient-facing CAPD cost range from HealthHub.,HEALTHHUB_PD_COSTS,HealthHub Singapore. Peritoneal Dialysis,https://www.healthhub.sg/health-conditions/what-is-peritoneal-dialysis,Singapore patient-facing PD cost information
capd_annual_cost,CAPD,14400.0,13200.0,15600.0,SGD_per_year,derived_from_monthly,False,Derived from monthly CAPD cost.,HEALTHHUB_PD_COSTS,HealthHub Singapore. Peritoneal Dialysis,https://www.healthhub.sg/health-conditions/what-is-peritoneal-dialysis,Singapore patient-facing PD cost information
apd_monthly_cost,APD,1700.0,1600.0,1800.0,SGD_per_month,midpoint_of_range,False,"Patient-facing APD cost range, excluding electricity bill.",HEALTHHUB_PD_COSTS,HealthHub Singapore. Peritoneal Dialysis,https://www.healthhub.sg/health-conditions/what-is-peritoneal-dialysis,Singapore patient-facing PD cost information
apd_annual_cost,APD,20400.0,19200.0,21600.0,SGD_per_year,derived_from_monthly,False,Derived from monthly APD cost.,HEALTHHUB_PD_COSTS,HealthHub Singapore. Peritoneal Dialysis,https://www.healthhub.sg/health-conditions/what-is-peritoneal-dialysis,Singapore patient-facing PD cost information
pd_blended_monthly_cost,PD_blended,1570.0,1400.0,1725.0,SGD_per_month,derived_weighted_average,True,Weighted average using APD/CAPD mix from Singapore health economics article and PD cost ranges from HealthHub.,KHAN_2022_ECONOMICS,Khan BA et al. Health economics of kidney replacement therapy in Singapore: Taking stock and looking ahead. Ann Acad Med Singap. 2022.,https://annals.edu.sg/health-economics-of-kidney-replacement-therapy-in-singapore-taking-stock-and-looking-ahead/,Singapore health economics discussion of kidney replacement therapy
pd_blended_annual_cost,PD_blended,18840.0,16800.0,20700.0,SGD_per_year,derived_weighted_average,True,Base annual PD cost used in the simplified two-modality model.,KHAN_2022_ECONOMICS,Khan BA et al. Health economics of kidney replacement therapy in Singapore: Taking stock and looking ahead. Ann Acad Med Singap. 2022.,https://annals.edu.sg/health-economics-of-kidney-replacement-therapy-in-singapore-taking-stock-and-looking-ahead/,Singapore health economics discussion of kidney replacement therapy
yang_2016_total_cost_capd,CAPD,169872.0,,,SGD_total_model_horizon,published_model_result,False,"Used as external plausibility check, not as the direct annual cost input.",YANG_2016_CEA,"Yang F, Lau T, Luo N. Cost-effectiveness of haemodialysis and peritoneal dialysis for patients with end-stage renal disease in Singapore. Nephrology. 2016.",https://pubmed.ncbi.nlm.nih.gov/26566750/,Singapore peer-reviewed cost-effectiveness model
yang_2016_total_cost_apd,APD,201509.0,,,SGD_total_model_horizon,published_model_result,False,"Used as external plausibility check, not as the direct annual cost input.",YANG_2016_CEA,"Yang F, Lau T, Luo N. Cost-effectiveness of haemodialysis and peritoneal dialysis for patients with end-stage renal disease in Singapore. Nephrology. 2016.",https://pubmed.ncbi.nlm.nih.gov/26566750/,Singapore peer-reviewed cost-effectiveness model
yang_2016_total_cost_hd,HD,306827.0,,,SGD_total_model_horizon,published_model_result,False,"Used as external plausibility check, not as the direct annual cost input.",YANG_2016_CEA,"Yang F, Lau T, Luo N. Cost-effectiveness of haemodialysis and peritoneal dialysis for patients with end-stage renal disease in Singapore. Nephrology. 2016.",https://pubmed.ncbi.nlm.nih.gov/26566750/,Singapore peer-reviewed cost-effectiveness model
