table,source_key,source_title,source_url,data_origin
assumptions,COOPER_2020_UTILITIES,Cooper JT et al. Health related quality of life utility weights for economic evaluation through different stages of chronic kidney disease: a systematic review. 2020.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7507735/,Systematic review of CKD health-state utility evidence
utilities,COOPER_2020_UTILITIES,Cooper JT et al. Health related quality of life utility weights for economic evaluation through different stages of chronic kidney disease: a systematic review. 2020.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7507735/,Systematic review of CKD health-state utility evidence
assumptions,DRUMMOND_2015,Drummond MF et al. Methods for the Economic Evaluation of Health Care Programmes. 4th ed. Oxford University Press; 2015.,,Health economic evaluation textbook
model_scope,DRUMMOND_2015,Drummond MF et al. Methods for the Economic Evaluation of Health Care Programmes. 4th ed. Oxford University Press; 2015.,,Health economic evaluation textbook
utilities,DRUMMOND_2015,Drummond MF et al. Methods for the Economic Evaluation of Health Care Programmes. 4th ed. Oxford University Press; 2015.,,Health economic evaluation textbook
assumptions,DUKE_MYKIDNEY_COSTS,Duke-NUS Lien Centre for Palliative Care. myKIDNEY: Comparing treatment options,https://www.duke-nus.edu.sg/lcpc/mykidney/treatment-options/comparing-treatment-options,Singapore patient-facing HD and PD cost ranges
costs,DUKE_MYKIDNEY_COSTS,Duke-NUS Lien Centre for Palliative Care. myKIDNEY: Comparing treatment options,https://www.duke-nus.edu.sg/lcpc/mykidney/treatment-options/comparing-treatment-options,Singapore patient-facing HD and PD cost ranges
costs,HEALTHHUB_PD_COSTS,HealthHub Singapore. Peritoneal Dialysis,https://www.healthhub.sg/health-conditions/what-is-peritoneal-dialysis,Singapore patient-facing PD cost information
assumptions,KHAN_2022_ECONOMICS,Khan BA et al. Health economics of kidney replacement therapy in Singapore: Taking stock and looking ahead. Ann Acad Med Singap. 2022.,https://annals.edu.sg/health-economics-of-kidney-replacement-therapy-in-singapore-taking-stock-and-looking-ahead/,Singapore health economics discussion of kidney replacement therapy
costs,KHAN_2022_ECONOMICS,Khan BA et al. Health economics of kidney replacement therapy in Singapore: Taking stock and looking ahead. Ann Acad Med Singap. 2022.,https://annals.edu.sg/health-economics-of-kidney-replacement-therapy-in-singapore-taking-stock-and-looking-ahead/,Singapore health economics discussion of kidney replacement therapy
