parameter,category,base_value,low_value,high_value,unit,source_key,source_title,source_url,notes
incident_kidney_failure_patients_per_year,population,2190.0,,,patients_per_year,NKF_KEY_STATS,National Kidney Foundation Singapore. Key Statistics,https://nkfs.org/about-us/key-statistics/,Annual incident kidney failure patients derived from six new patients per day.
pd_suitable_share,population,0.6,0.4,0.8,proportion,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Assumption applied to incident patients to estimate medically suitable PD-eligible cohort.
eligible_patients_per_year,population,1314.0,,,patients_per_year,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Derived as incident patients per year multiplied by PD suitability share.
current_pd_uptake,uptake,0.19,,,proportion,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Current practice PD uptake anchor among new dialysis patients.
target_pd_uptake,uptake,0.3,,,proportion,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Policy target PD uptake among new dialysis patients.
annual_cost_hd,cost,37800.0,33600.0,42000.0,SGD_per_year,DUKE_MYKIDNEY_COSTS,Duke-NUS Lien Centre for Palliative Care. myKIDNEY: Comparing treatment options,https://www.duke-nus.edu.sg/lcpc/mykidney/treatment-options/comparing-treatment-options,Annual HD cost used in base Markov model.
annual_cost_pd,cost,18840.0,16800.0,20700.0,SGD_per_year,KHAN_2022_ECONOMICS,Khan BA et al. Health economics of kidney replacement therapy in Singapore: Taking stock and looking ahead. Ann Acad Med Singap. 2022.,https://annals.edu.sg/health-economics-of-kidney-replacement-therapy-in-singapore-taking-stock-and-looking-ahead/,Annual blended PD cost used in base Markov model.
annual_cost_switched_pd_to_hd,cost,37800.0,33600.0,42000.0,SGD_per_year,DUKE_MYKIDNEY_COSTS,Duke-NUS Lien Centre for Palliative Care. myKIDNEY: Comparing treatment options,https://www.duke-nus.edu.sg/lcpc/mykidney/treatment-options/comparing-treatment-options,Assumed equal to annual HD cost after PD technique failure or modality switch.
annual_cost_death,cost,0.0,0.0,0.0,SGD_per_year,DRUMMOND_2015,Drummond MF et al. Methods for the Economic Evaluation of Health Care Programmes. 4th ed.,NA,No ongoing dialysis cost assigned after death in this simplified model.
health_state_utility_hd,utility,0.58,0.44,0.71,utility_weight,COOPER_2020_UTILITIES,Cooper JT et al. Health related quality of life utility weights for economic evaluation through different stages of chronic kidney disease: a systematic review. 2020.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7507735/,"Placeholder utility for first-pass model. Cooper et al. systematic review supports using CKD utility evidence, but this exact base value should be sensitivity-tested."
