section,field,value,unit,notes,source_key,source_title,source_url,data_origin
project_identity,project_title,Economic Evaluation and Budget Impact Analysis of Increased Peritoneal Dialysis Use Compared with Centre-Based Haemodialysis for Kidney Failure in Singapore,text,Report title for portfolio model.,SG_MTE_METHODS,Singapore Medical Technology Evaluation Methods and Process Guide,https://www.ace-hta.gov.sg/resources/process-methods/,Singapore medical technology evaluation methods source
decision_problem,decision_problem,Should Singapore increase peritoneal dialysis uptake among medically suitable kidney failure patients compared with a haemodialysis-dominant current practice pathway?,text,"Frames the project as a policy pathway evaluation, not a claim that PD is suitable for all patients.",MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
population,population,Adults with kidney failure in Singapore who are medically suitable for either PD or HD,text,The intervention-eligible population should exclude patients clinically unsuitable for PD.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
intervention,intervention,Increased uptake of peritoneal dialysis among medically suitable new dialysis patients,text,"Modelled as a modality uptake scenario, not as a new drug or device.",MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
comparator,comparator,Current practice / haemodialysis-dominant dialysis pathway,text,Comparator will be parameterised using modality mix inputs.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
methods,perspective,Singapore healthcare system perspective,text,Direct healthcare costs only in the base case.,SG_MTE_METHODS,Singapore Medical Technology Evaluation Methods and Process Guide,https://www.ace-hta.gov.sg/resources/process-methods/,Singapore medical technology evaluation methods source
methods,model_type,Cohort Markov cost-utility model with five-year budget impact analysis,text,Markov modelling is appropriate because dialysis is a chronic pathway with repeated state transitions.,DRUMMOND_2015,Drummond MF et al. Methods for the Economic Evaluation of Health Care Programmes. 4th ed. Oxford University Press; 2015.,NA,Health economic evaluation textbook
methods,base_case_time_horizon,5,years,Five years is aligned with the planned budget impact horizon and keeps the portfolio model manageable.,SG_MTE_METHODS,Singapore Medical Technology Evaluation Methods and Process Guide,https://www.ace-hta.gov.sg/resources/process-methods/,Singapore medical technology evaluation methods source
methods,cycle_length,1,year,Annual cycles match annual cost and transition inputs used in a first-pass model.,DRUMMOND_2015,Drummond MF et al. Methods for the Economic Evaluation of Health Care Programmes. 4th ed. Oxford University Press; 2015.,NA,Health economic evaluation textbook
model_structure,health_states,Haemodialysis; Peritoneal dialysis; Switched from PD to HD; Death,text,Transplant is excluded initially and can be added as a scenario.,DRUMMOND_2015,Drummond MF et al. Methods for the Economic Evaluation of Health Care Programmes. 4th ed. Oxford University Press; 2015.,NA,Health economic evaluation textbook
outcomes,primary_economic_outcome,Incremental cost per QALY gained,text,"If utilities remain weak, also present a cost-consequence interpretation.",DRUMMOND_2015,Drummond MF et al. Methods for the Economic Evaluation of Health Care Programmes. 4th ed. Oxford University Press; 2015.,NA,Health economic evaluation textbook
outcomes,secondary_outcomes,Total costs; life-years; QALYs; deaths; modality switches; net budget impact,text,Outputs required for the economic evaluation and BIA tables.,SG_MTE_METHODS,Singapore Medical Technology Evaluation Methods and Process Guide,https://www.ace-hta.gov.sg/resources/process-methods/,Singapore medical technology evaluation methods source
budget_impact,budget_impact_horizon,5,years,"Compares current practice with low, base and high PD uptake scenarios.",SG_MTE_METHODS,Singapore Medical Technology Evaluation Methods and Process Guide,https://www.ace-hta.gov.sg/resources/process-methods/,Singapore medical technology evaluation methods source
policy_anchor,pd_uptake_anchor,19% current anchor among new dialysis patients; 30% policy target by 2025,percent,Detailed yearly scenarios are specified in uptake_scenarios_raw.csv.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
costing,currency,Singapore dollars,SGD,Cost year will be reported according to source year and model assumption.,SG_MTE_METHODS,Singapore Medical Technology Evaluation Methods and Process Guide,https://www.ace-hta.gov.sg/resources/process-methods/,Singapore medical technology evaluation methods source
status,report_status,"Training portfolio model, not an official funding evaluation",text,Prevents overclaiming policy authority.,SG_MTE_METHODS,Singapore Medical Technology Evaluation Methods and Process Guide,https://www.ace-hta.gov.sg/resources/process-methods/,Singapore medical technology evaluation methods source
