table,parameter,base_value,low_value,high_value,unit,source_key,input_quality_flag,notes
population,prevalent_dialysis_patients_singapore,9000.0,9000.0,,patients,NKF_KEY_STATS,Singapore public source,"NKF reports more than 9,000 dialysis patients in Singapore."
population,new_kidney_failure_patients_per_day,6.0,,,patients_per_day,NKF_KEY_STATS,Singapore public source,NKF reports around six new kidney failure patients daily.
population,estimated_new_kidney_failure_patients_per_year,2190.0,,,patients_per_year,NKF_KEY_STATS,Derived input,Derived as 6 new patients per day multiplied by 365 days. Replace with registry annual incident count if available.
population,diabetes_share_of_new_kidney_failure_cases,0.6666666666666666,,,proportion,NKF_KEY_STATS,Singapore public source,NKF reports that about two in three new kidney failure cases are due to diabetes.
population,annual_dialysis_spending_singapore,300000000.0,,,SGD_per_year,NKF_KEY_STATS,Singapore public source,NKF reports around S$300 million is spent annually on dialysis treatment.
modality_mix,current_pd_uptake_new_dialysis_patients,0.19,,,proportion,MOH_PD_POLICY,Singapore public source,MOH reported PD uptake among new dialysis patients at 19% before the planned increase.
modality_mix,target_pd_uptake_new_dialysis_patients,0.3,,,proportion,MOH_PD_POLICY,Singapore public source,MOH stated a target to raise PD uptake among new dialysis patients to 30% by 2025.
modality_mix,current_hd_uptake_new_dialysis_patients,0.81,,,proportion,MOH_PD_POLICY,Derived input,Derived as 1 minus current PD uptake.
modality_mix,target_hd_uptake_new_dialysis_patients,0.7,,,proportion,MOH_PD_POLICY,Derived input,Derived as 1 minus target PD uptake.
modality_mix,apd_share_of_pd_patients,0.74,0.6,0.85,proportion,KHAN_2022_ECONOMICS,Singapore peer-reviewed or sector evidence,Used to estimate blended PD cost where PD is not separated into APD and CAPD in the main model.
modality_mix,capd_share_of_pd_patients,0.26,0.15,0.4,proportion,KHAN_2022_ECONOMICS,Singapore peer-reviewed or sector evidence,Complements APD share. Values should sum to 1 in the base case.
costs,hd_monthly_cost,3150.0,2800.0,3500.0,SGD_per_month,DUKE_MYKIDNEY_COSTS,Singapore public source,"Patient-facing monthly HD cost range, excluding transport costs. This is a cost proxy, not a full provider cost."
costs,hd_annual_cost,37800.0,33600.0,42000.0,SGD_per_year,DUKE_MYKIDNEY_COSTS,Derived input,Derived from monthly HD cost.
costs,capd_monthly_cost,1200.0,1100.0,1300.0,SGD_per_month,HEALTHHUB_PD_COSTS,Singapore public source,Patient-facing CAPD cost range from HealthHub.
costs,capd_annual_cost,14400.0,13200.0,15600.0,SGD_per_year,HEALTHHUB_PD_COSTS,Derived input,Derived from monthly CAPD cost.
costs,apd_monthly_cost,1700.0,1600.0,1800.0,SGD_per_month,HEALTHHUB_PD_COSTS,Singapore public source,"Patient-facing APD cost range, excluding electricity bill."
costs,apd_annual_cost,20400.0,19200.0,21600.0,SGD_per_year,HEALTHHUB_PD_COSTS,Derived input,Derived from monthly APD cost.
costs,pd_blended_monthly_cost,1570.0,1400.0,1725.0,SGD_per_month,KHAN_2022_ECONOMICS,Derived input,Weighted average using APD/CAPD mix from Singapore health economics article and PD cost ranges from HealthHub.
costs,pd_blended_annual_cost,18840.0,16800.0,20700.0,SGD_per_year,KHAN_2022_ECONOMICS,Derived input,Base annual PD cost used in the simplified two-modality model.
costs,yang_2016_total_cost_capd,169872.0,,,SGD_total_model_horizon,YANG_2016_CEA,Singapore peer-reviewed or sector evidence,"Used as external plausibility check, not as the direct annual cost input."
costs,yang_2016_total_cost_apd,201509.0,,,SGD_total_model_horizon,YANG_2016_CEA,Singapore peer-reviewed or sector evidence,"Used as external plausibility check, not as the direct annual cost input."
costs,yang_2016_total_cost_hd,306827.0,,,SGD_total_model_horizon,YANG_2016_CEA,Singapore peer-reviewed or sector evidence,"Used as external plausibility check, not as the direct annual cost input."
utilities,yang_2016_qaly_capd,3.27,,,QALYs_total_model_horizon,YANG_2016_CEA,Singapore peer-reviewed or sector evidence,Used for plausibility checking against this project's model outputs.
utilities,yang_2016_qaly_apd,3.48,,,QALYs_total_model_horizon,YANG_2016_CEA,Singapore peer-reviewed or sector evidence,Used for plausibility checking against this project's model outputs.
utilities,yang_2016_qaly_hd,4.69,,,QALYs_total_model_horizon,YANG_2016_CEA,Singapore peer-reviewed or sector evidence,Used for plausibility checking against this project's model outputs.
utilities,health_state_utility_hd,0.58,0.44,0.71,utility_weight,COOPER_2020_UTILITIES,High uncertainty / assumption,"Placeholder utility for first-pass model. Cooper et al. systematic review supports using CKD utility evidence, but this exact base value should be sensitivity-tested."
utilities,health_state_utility_pd,0.62,0.53,0.72,utility_weight,YANG_2018_PD_HRQoL,High uncertainty / assumption,Placeholder utility for first-pass model. Keep utility difference small because Singapore PD modality HRQoL evidence suggests differences can be modest.
utilities,health_state_utility_switched_pd_to_hd,0.56,0.44,0.71,utility_weight,COOPER_2020_UTILITIES,High uncertainty / assumption,Assumed slightly lower than stable HD due to prior technique failure/switch burden. High-priority sensitivity parameter.
utilities,health_state_utility_death,0.0,0.0,0.0,utility_weight,DRUMMOND_2015,Other,Death has zero utility in QALY modelling.
transitions,annual_death_probability_hd,0.12,0.08,0.18,annual_probability,KHOO_2022_OUTCOMES,High uncertainty / assumption,Base case assumes equal annual mortality for HD and PD to avoid over-interpreting observational modality differences. Replace with registry-calibrated survival if available.
transitions,annual_death_probability_pd,0.12,0.08,0.2,annual_probability,KHOO_2022_OUTCOMES,High uncertainty / assumption,Base case assumes equal mortality. Scenario analysis can apply the Singapore observational HR for PD versus HD.
transitions,pd_mortality_hazard_ratio_vs_hd,1.51,1.35,1.7,hazard_ratio,KHOO_2022_OUTCOMES,Singapore peer-reviewed or sector evidence,Use as scenario only because modality selection and case-mix may confound observational mortality differences.
transitions,annual_pd_to_hd_switch_probability,0.15,0.08,0.25,annual_probability,KHAN_2022_ECONOMICS,High uncertainty / assumption,Represents PD technique failure or modality switch. Needs validation from registry or local clinical input.
transitions,annual_hd_to_pd_switch_probability,0.01,0.0,0.03,annual_probability,MOH_PD_POLICY,High uncertainty / assumption,Small switch probability because the policy question focuses on initial modality uptake among new patients.
transitions,annual_transplant_probability,0.0,0.0,0.03,annual_probability,KHAN_2022_ECONOMICS,Singapore peer-reviewed or sector evidence,Transplant is excluded from the base model to keep the first version transparent. Add as a scenario later if needed.
